ID,data,label
sub-gl017_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl017\sub-gl017_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl017\sub-gl017_seg-subreg_ctd.json
sub-gl045_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl045\sub-gl045_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl045\sub-gl045_seg-subreg_ctd.json
sub-gl059_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl059\sub-gl059_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl059\sub-gl059_seg-subreg_ctd.json
sub-gl068_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl068\sub-gl068_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl068\sub-gl068_seg-subreg_ctd.json
sub-gl099_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl099\sub-gl099_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl099\sub-gl099_seg-subreg_ctd.json
sub-gl144_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl144\sub-gl144_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl144\sub-gl144_seg-subreg_ctd.json
sub-gl153_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl153\sub-gl153_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl153\sub-gl153_seg-subreg_ctd.json
sub-gl352_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl352\sub-gl352_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl352\sub-gl352_seg-subreg_ctd.json
sub-gl380_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl380\sub-gl380_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl380\sub-gl380_seg-subreg_ctd.json
sub-gl479_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-gl479\sub-gl479_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-gl479\sub-gl479_seg-subreg_ctd.json
sub-verse505_seg-vert_snp,E:\Verse\dataset-02validation\derivatives\sub-verse505\sub-verse505_seg-vert_msk.nii.gz,E:\Verse\dataset-02validation\derivatives\sub-verse505\sub-verse505_seg-subreg_ctd.json
