ID,data,label
sub-gl003_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl003\sub-gl003_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl003\sub-gl003_dir-ax_seg-subreg_ctd.json
sub-gl016_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl016\sub-gl016_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl016\sub-gl016_dir-ax_seg-subreg_ctd.json
sub-gl047_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl047\sub-gl047_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl047\sub-gl047_dir-ax_seg-subreg_ctd.json
sub-gl090_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl090\sub-gl090_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl090\sub-gl090_dir-ax_seg-subreg_ctd.json
sub-gl124_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl124\sub-gl124_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl124\sub-gl124_dir-ax_seg-subreg_ctd.json
sub-gl240_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl240\sub-gl240_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl240\sub-gl240_dir-ax_seg-subreg_ctd.json
sub-gl247_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl247\sub-gl247_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl247\sub-gl247_dir-ax_seg-subreg_ctd.json
sub-gl295_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl295\sub-gl295_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl295\sub-gl295_dir-ax_seg-subreg_ctd.json
sub-gl364_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl364\sub-gl364_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl364\sub-gl364_dir-ax_seg-subreg_ctd.json
sub-gl453_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-gl453\sub-gl453_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-gl453\sub-gl453_dir-ax_seg-subreg_ctd.json
sub-verse500_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse500\sub-verse500_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse500\sub-verse500_dir-ax_seg-subreg_ctd.json
sub-verse503_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse503\sub-verse503_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse503\sub-verse503_dir-ax_seg-subreg_ctd.json
sub-verse504_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse504\sub-verse504_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse504\sub-verse504_dir-iso_seg-subreg_ctd.json
sub-verse506_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse506\sub-verse506_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse506\sub-verse506_dir-iso_seg-subreg_ctd.json
sub-verse507_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse507\sub-verse507_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse507\sub-verse507_dir-ax_seg-subreg_ctd.json
sub-verse510_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse510\sub-verse510_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse510\sub-verse510_dir-ax_seg-subreg_ctd.json
sub-verse514_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse514\sub-verse514_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse514\sub-verse514_dir-ax_seg-subreg_ctd.json
sub-verse518_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse518\sub-verse518_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse518\sub-verse518_dir-ax_seg-subreg_ctd.json
sub-verse519_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse519\sub-verse519_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse519\sub-verse519_dir-iso_seg-subreg_ctd.json
sub-verse521_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse521\sub-verse521_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse521\sub-verse521_dir-ax_seg-subreg_ctd.json
sub-verse525_dir-sag_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse525\sub-verse525_dir-sag_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse525\sub-verse525_dir-sag_seg-subreg_ctd.json
sub-verse527_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse527\sub-verse527_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse527\sub-verse527_dir-ax_seg-subreg_ctd.json
sub-verse532_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse532\sub-verse532_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse532\sub-verse532_dir-ax_seg-subreg_ctd.json
sub-verse533_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse533\sub-verse533_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse533\sub-verse533_dir-ax_seg-subreg_ctd.json
sub-verse534_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse534\sub-verse534_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse534\sub-verse534_dir-iso_seg-subreg_ctd.json
sub-verse535_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse535\sub-verse535_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse535\sub-verse535_dir-iso_seg-subreg_ctd.json
sub-verse536_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse536\sub-verse536_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse536\sub-verse536_dir-ax_seg-subreg_ctd.json
sub-verse537_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse537\sub-verse537_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse537\sub-verse537_dir-iso_seg-subreg_ctd.json
sub-verse539_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse539\sub-verse539_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse539\sub-verse539_dir-ax_seg-subreg_ctd.json
sub-verse541_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse541\sub-verse541_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse541\sub-verse541_dir-ax_seg-subreg_ctd.json
sub-verse542_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse542\sub-verse542_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse542\sub-verse542_dir-iso_seg-subreg_ctd.json
sub-verse544_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse544\sub-verse544_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse544\sub-verse544_dir-ax_seg-subreg_ctd.json
sub-verse557_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse557\sub-verse557_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse557\sub-verse557_dir-ax_seg-subreg_ctd.json
sub-verse561_dir-sag_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse561\sub-verse561_dir-sag_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse561\sub-verse561_dir-sag_seg-subreg_ctd.json
sub-verse564_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse564\sub-verse564_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse564\sub-verse564_dir-iso_seg-subreg_ctd.json
sub-verse565_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse565\sub-verse565_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse565\sub-verse565_dir-ax_seg-subreg_ctd.json
sub-verse577_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse577\sub-verse577_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse577\sub-verse577_dir-ax_seg-subreg_ctd.json
sub-verse581_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse581\sub-verse581_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse581\sub-verse581_dir-ax_seg-subreg_ctd.json
sub-verse584_dir-ax_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse584\sub-verse584_dir-ax_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse584\sub-verse584_dir-ax_seg-subreg_ctd.json
sub-verse586_dir-iso_seg-vert_snp,E:\Verse\dataset-01training\derivatives\sub-verse586\sub-verse586_dir-iso_seg-vert_msk.nii.gz,E:\Verse\dataset-01training\derivatives\sub-verse586\sub-verse586_dir-iso_seg-subreg_ctd.json
